Location,Employer Only,Non-group Only,Medicaid and Private Insurance,Medicaid and Medicare,Medicaid Only,Medicare and Private Insurance,Medicare Only,Military,Uninsured,Total,Footnotes,Year
Delaware,455100,28200.0,16300.0,29800,136200,93400,37900,11000.0,90500,898500,,2013
District of Columbia,316400,33600.0,18700.0,26500,122200,31100,16700,6400.0,38700,610300,,2013
Florida,7300300,1160300.0,209700.0,719600,2374700,1668900,1426600,391200.0,3841800,19093200,,2013
Georgia,4477200,465500.0,130500.0,284000,1234500,599700,433700,240100.0,1825700,9690900,,2013
Hawaii,707100,57600.0,24200.0,36900,155200,126500,51800,78500.0,93800,1331500,,2013
Idaho,734100,121700.0,32700.0,41200,167900,129900,68700,29500.0,255300,1580900,,2013
Illinois,6525500,629500.0,167300.0,303100,1777900,939200,539300,90800.0,1598500,12571100,,2013
Indiana,3306200,283400.0,81700.0,167800,738400,525200,308900,55200.0,899600,6366500,,2013
Iowa,1609300,190300.0,64800.0,90800,338800,292600,119700,21800.0,262300,2990300,,2013
Kansas,1464800,182000.0,43800.0,71400,257500,240000,115900,75000.0,346200,2796500,,2013
Kentucky,2029600,174900.0,62700.0,153800,562600,359900,225900,74100.0,617200,4260900,,2013
Louisiana,1977300,214100.0,81300.0,177000,708100,276800,226300,68100.0,754200,4483200,,2013
Maine,586900,52300.0,33000.0,68100,190000,128200,63500,26000.0,143700,1291900,,2013
Maryland,3243600,294200.0,88900.0,142200,648000,451700,190900,119400.0,588600,5767500,,2013
Massachusetts,3722100,319700.0,148100.0,262300,995900,490100,237500,30500.0,245200,6451500,,2013
